,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.666656494140625],[0.8906041383743286],[0.7712213397026062],[0.7100325226783752],[0.8951424956321716],[0.9341132640838623],[0.6096753478050232],[0.905658483505249],[0.943943202495575],[0.6690688133239746],[0.878258228302002],[0.7575141191482544],[0.9355482459068298],[0.8807645440101624],[0.7364766001701355],[0.9237697720527649],[0.8645962476730347],[0.6983869671821594],[0.8950185775756836],[0.8253402709960938],[0.41484692692756653],[0.8141345977783203],[0.8502404093742371],[0.19246447086334229]
13,,[0.5648069381713867],[0.8310391902923584],[0.9203699231147766],[0.5716729164123535],[0.8631203174591064],[0.9273517727851868],[0.5795605182647705],[0.7803025245666504],[0.9673450589179993],[0.5679665207862854],[0.8640182018280029],[0.9530410170555115],[0.8023832440376282],[0.9644718766212463],[0.9680709838867188],[0.8765509724617004],[0.9671700596809387],[0.9668803215026855],[0.776786208152771],[0.6804640889167786],[0.9426379203796387],[0.7904129028320312],[0.9424525499343872],[0.941927433013916]
14,,[0.6139029264450073],[0.799386203289032],[0.920738160610199],[0.6056649684906006],[0.762988805770874],[0.9085683226585388],[0.6185255646705627],[0.761892557144165],[0.9052541851997375],[0.6021351218223572],[0.7745365500450134],[0.8171889781951904],[0.9101649522781372],[0.9235570430755615],[0.8321838974952698],[0.9111298322677612],[0.9209253191947937],[0.8475294709205627],[0.9056734442710876],[0.8856813311576843],[0.802818238735199],[0.8060362339019775],[0.8304673433303833],[0.727844774723053]
15,,[0.5911374092102051],[0.9468972682952881],[0.557472288608551],[0.5769650340080261],[0.9250738024711609],[0.9603440761566162],[0.5774242281913757],[0.8834978342056274],[0.9610522389411926],[0.576774537563324],[0.8702946901321411],[0.8492220640182495],[0.7942955493927002],[0.9614661335945129],[0.9622642993927002],[0.7842554450035095],[0.9609774351119995],[0.9619480967521667],[0.8068637847900391],[0.961026668548584],[0.9618388414382935],[0.9413877725601196],[0.8847061395645142],[0.8312048316001892]
16,,[0.7388179302215576],[0.9724000096321106],[0.9038247466087341],[0.7734839916229248],[0.9674063324928284],[0.9514496326446533],[0.6941726803779602],[0.956508219242096],[0.971522331237793],[0.6699873208999634],[0.9724377989768982],[0.9697591066360474],[0.9698212146759033],[0.9697727560997009],[0.8389160633087158],[0.9632253050804138],[0.9652647376060486],[0.7462595105171204],[0.9466121792793274],[0.9175911545753479],[0.19788138568401337],[0.834219217300415],[0.6478593945503235],[0.3055770695209503]
17,,[0.5800087451934814],[0.8509847521781921],[0.9394093155860901],[0.5806292295455933],[0.8424537777900696],[0.941609799861908],[0.5826156735420227],[0.8797135353088379],[0.9361060857772827],[0.5797511339187622],[0.8708797097206116],[0.871775209903717],[0.9309972524642944],[0.9345422387123108],[0.8299886584281921],[0.9284507036209106],[0.9352617859840393],[0.8347726464271545],[0.9307801723480225],[0.935845673084259],[0.8276448249816895],[0.7825495600700378],[0.7295839190483093],[0.791167676448822]
18,,[0.5830568075180054],[0.8840017318725586],[0.8913201689720154],[0.5892694592475891],[0.9052547216415405],[0.9496443271636963],[0.5872982740402222],[0.898256778717041],[0.9544379711151123],[0.5829141139984131],[0.9003838300704956],[0.7941994667053223],[0.9490532279014587],[0.9605490565299988],[0.9421800971031189],[0.9494842886924744],[0.9558268189430237],[0.9235707521438599],[0.9553074240684509],[0.963357150554657],[0.880946695804596],[0.4971083104610443],[0.3485892117023468],[0.3382406234741211]
19,,[0.5642117261886597],[0.9578465223312378],[0.8607950210571289],[0.5644712448120117],[0.9134199619293213],[0.9397486448287964],[0.5653688907623291],[0.8806368708610535],[0.9438492059707642],[0.563971757888794],[0.8921928405761719],[0.8567259907722473],[0.9473618865013123],[0.9496883749961853],[0.8172156810760498],[0.9531636238098145],[0.9552931785583496],[0.8380889892578125],[0.8805117011070251],[0.8806138038635254],[0.8453391194343567],[0.9543179869651794],[0.9491248726844788],[0.805094301700592]
20,,[0.6461037993431091],[0.9660348892211914],[0.9482690095901489],[0.6648077368736267],[0.9711872339248657],[0.9203748106956482],[0.6587312817573547],[0.9667080044746399],[0.9562387466430664],[0.6459243297576904],[0.920278787612915],[0.8272601962089539],[0.9333156943321228],[0.9551019072532654],[0.9223335385322571],[0.8567007780075073],[0.9547160863876343],[0.9327793717384338],[0.9566298127174377],[0.950713574886322],[0.6211051940917969],[0.7905333638191223],[0.9514586329460144],[0.9530919790267944]
21,,[0.6602301597595215],[0.8904825448989868],[0.8879558444023132],[0.6828114986419678],[0.823844850063324],[0.9695208072662354],[0.7187298536300659],[0.8341678977012634],[0.9735646843910217],[0.6565951108932495],[0.9544949531555176],[0.8279768228530884],[0.9710932374000549],[0.9730605483055115],[0.8819414377212524],[0.9683567881584167],[0.9727105498313904],[0.9271807074546814],[0.7895833253860474],[0.9023147821426392],[0.9439303278923035],[0.9723635315895081],[0.9718510508537292],[0.8700224757194519]
