,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.36742284893989563],[0.8400712013244629],[0.8703466653823853],[0.3947947323322296],[0.7836748957633972],[0.9078961610794067],[0.4194186329841614],[0.8453707098960876],[0.9163906574249268],[0.36801877617836],[0.8830493092536926],[0.9035684466362],[0.9459090828895569],[0.9246070981025696],[0.8886326551437378],[0.9483654499053955],[0.9157520532608032],[0.8856686353683472],[0.9118692874908447],[0.9105568528175354],[0.8244653940200806],[0.9144682884216309],[0.8685733675956726],[0.8272445797920227]
13,,[0.37715253233909607],[0.6546568870544434],[0.858366072177887],[0.378972589969635],[0.5896322131156921],[0.9001346826553345],[0.3957139849662781],[0.7007049918174744],[0.9049875736236572],[0.37684085965156555],[0.5999324321746826],[0.8778834342956543],[0.9408336281776428],[0.9228326678276062],[0.8314089179039001],[0.938519299030304],[0.9082177877426147],[0.7010391354560852],[0.8840735554695129],[0.9208981394767761],[0.1506742537021637],[0.8841678500175476],[0.9000384211540222],[0.6508720517158508]
14,,[0.44206804037094116],[0.8334760665893555],[0.9370426535606384],[0.45106935501098633],[0.7838298082351685],[0.9479947090148926],[0.6496938467025757],[0.8871031403541565],[0.9528533816337585],[0.4330560266971588],[0.8704544305801392],[0.9497719407081604],[0.9504035711288452],[0.9587018489837646],[0.940498411655426],[0.9361664652824402],[0.9583904147148132],[0.9474136233329773],[0.950179934501648],[0.9319374561309814],[0.9048653841018677],[0.8838960528373718],[0.9252969622612],[0.9083678126335144]
15,,[0.3920273184776306],[0.7828255295753479],[0.6364315152168274],[0.3921753764152527],[0.7617186307907104],[0.9368016719818115],[0.4076806306838989],[0.8016001582145691],[0.8625341653823853],[0.39158275723457336],[0.7664877772331238],[0.8436891436576843],[0.9276317358016968],[0.8749083280563354],[0.8464754819869995],[0.9101220965385437],[0.8760884404182434],[0.8466488122940063],[0.9123292565345764],[0.873687744140625],[0.8389487266540527],[0.7098398804664612],[0.6735183596611023],[0.5213435888290405]
16,,[0.4262244999408722],[0.6920804977416992],[0.8967631459236145],[0.42763155698776245],[0.6014488935470581],[0.8916714787483215],[0.4623822569847107],[0.7509532570838928],[0.9227883219718933],[0.4263557195663452],[0.7039604187011719],[0.8817676305770874],[0.9192356467247009],[0.9334482550621033],[0.9144192934036255],[0.9058572053909302],[0.9321208000183105],[0.9147682785987854],[0.9340263605117798],[0.9230362772941589],[0.8936215043067932],[0.8491636514663696],[0.915472686290741],[0.9041957855224609]
17,,[0.48971566557884216],[0.8233854174613953],[0.9141719341278076],[0.49043262004852295],[0.7134724259376526],[0.9342742562294006],[0.49952369928359985],[0.7434039115905762],[0.9165055155754089],[0.48952269554138184],[0.7767895460128784],[0.9056338667869568],[0.9157253503799438],[0.9285659193992615],[0.9124456644058228],[0.8635605573654175],[0.9353944659233093],[0.9265624284744263],[0.7447642683982849],[0.8970373272895813],[0.5992476344108582],[0.7425868511199951],[0.7696239948272705],[0.6521239280700684]
18,,[0.4334113597869873],[0.8727335333824158],[0.92149817943573],[0.43364328145980835],[0.6760039329528809],[0.8887020349502563],[0.4373544752597809],[0.8288357257843018],[0.9269395470619202],[0.4325663149356842],[0.8801323771476746],[0.9197396636009216],[0.8721792697906494],[0.9064387679100037],[0.928820013999939],[0.8409646153450012],[0.902539849281311],[0.9347039461135864],[0.8400289416313171],[0.8558135628700256],[0.6226378679275513],[0.8350780010223389],[0.9204298853874207],[0.9168397188186646]
19,,[0.5054901242256165],[0.7840967178344727],[0.8527410626411438],[0.5066730976104736],[0.7889713644981384],[0.9060884714126587],[0.5097579956054688],[0.8252818584442139],[0.9251800775527954],[0.5064069628715515],[0.9064568281173706],[0.8272905349731445],[0.9475129842758179],[0.9191552996635437],[0.8409522771835327],[0.9451037645339966],[0.9145834445953369],[0.8362120389938354],[0.8960058689117432],[0.9082046151161194],[0.12727539241313934],[0.9444141983985901],[0.9052584171295166],[0.8234889507293701]
20,,[0.4501212537288666],[0.709514319896698],[0.9057154655456543],[0.4512821435928345],[0.7226215600967407],[0.9475951194763184],[0.5282403826713562],[0.7211892604827881],[0.9576241970062256],[0.4498901963233948],[0.6980418562889099],[0.9280783534049988],[0.9381759166717529],[0.9510191679000854],[0.9230087995529175],[0.9197891354560852],[0.9517920017242432],[0.9291751384735107],[0.9094458818435669],[0.9347914457321167],[0.7217528223991394],[0.8976839780807495],[0.9199642539024353],[0.07176008075475693]
21,,[0.49984705448150635],[0.6824876666069031],[0.8333635926246643],[0.5005044937133789],[0.7200078964233398],[0.8633177876472473],[0.49515143036842346],[0.6728583574295044],[0.8821508884429932],[0.4985889792442322],[0.7205713987350464],[0.8067376017570496],[0.9120743870735168],[0.8884894251823425],[0.8306626677513123],[0.9114188551902771],[0.8931083083152771],[0.8336498141288757],[0.8605661988258362],[0.8332191109657288],[0.8165953755378723],[0.7283555865287781],[0.8371833562850952],[0.654076874256134]
