,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.6714433431625366],[0.5356419086456299],[0.36683905124664307],[0.8866158127784729],[0.7293246984481812],[0.3685739040374756],[0.8790537118911743],[0.8130429983139038],[0.37676042318344116],[0.850415825843811],[0.8758041858673096],[0.3673541843891144],[0.8829259872436523],[0.8959434628486633],[0.8942362666130066],[0.8859849572181702],[0.896696925163269],[0.8927263021469116],[0.8809245228767395],[0.8977019786834717],[0.9005357623100281],[0.4507073163986206],[0.7651869654655457],[0.725365936756134]
13,,[0.8057094216346741],[0.5023474097251892],[0.3778761625289917],[0.7445170283317566],[0.4958885610103607],[0.3780871629714966],[0.9318949580192566],[0.5045915246009827],[0.37867268919944763],[0.8980211615562439],[0.5242069363594055],[0.3778509497642517],[0.9069296717643738],[0.939369797706604],[0.9454607963562012],[0.9187868237495422],[0.9326730370521545],[0.9406324625015259],[0.8919684886932373],[0.9027954339981079],[0.9283168911933899],[0.7755709290504456],[0.8203074932098389],[0.7208952903747559]
14,,[0.9372974634170532],[0.7346151471138],[0.4455682039260864],[0.9544225335121155],[0.7319677472114563],[0.4461587965488434],[0.9500098824501038],[0.7554659247398376],[0.44677063822746277],[0.9565897583961487],[0.7343478202819824],[0.4457267224788666],[0.9515524506568909],[0.955086350440979],[0.9281842708587646],[0.9516631364822388],[0.9560976624488831],[0.9418888688087463],[0.9508866667747498],[0.9559509754180908],[0.9137448072433472],[0.5669382214546204],[0.9071757793426514],[0.828575611114502]
15,,[0.830643355846405],[0.5929429531097412],[0.3920038044452667],[0.9234662055969238],[0.5413860082626343],[0.39224037528038025],[0.8465871810913086],[0.6595597863197327],[0.39314043521881104],[0.8366078734397888],[0.6050506830215454],[0.3919461667537689],[0.8453772664070129],[0.8598967790603638],[0.8775784969329834],[0.8442385792732239],[0.8593195676803589],[0.8726794123649597],[0.8478401899337769],[0.8640251755714417],[0.8757355213165283],[0.40084052085876465],[0.4193496108055115],[0.7386311888694763]
16,,[0.584708571434021],[0.6953256130218506],[0.4272773563861847],[0.8746762275695801],[0.5285418033599854],[0.4274366796016693],[0.8825709223747253],[0.9355440735816956],[0.4303745627403259],[0.9159286618232727],[0.6188353896141052],[0.4273946285247803],[0.9206376671791077],[0.9342984557151794],[0.9513697624206543],[0.9207772016525269],[0.9338613152503967],[0.9488389492034912],[0.9201048612594604],[0.9323612451553345],[0.9492043852806091],[0.7944970726966858],[0.8651725649833679],[0.8694350123405457]
17,,[0.6450639963150024],[0.5816208720207214],[0.48664355278015137],[0.9102615118026733],[0.6513833403587341],[0.48860999941825867],[0.9128656387329102],[0.9347318410873413],[0.5166210532188416],[0.9081562757492065],[0.6573814749717712],[0.4873894453048706],[0.9304059147834778],[0.9380941390991211],[0.9412720203399658],[0.9312039017677307],[0.9391807317733765],[0.8941835165023804],[0.9117075800895691],[0.9405981302261353],[0.9277533292770386],[0.5029721856117249],[0.8428714275360107],[0.6841346621513367]
18,,[0.5674840211868286],[0.8856775164604187],[0.43343234062194824],[0.9330138564109802],[0.9446321725845337],[0.43719664216041565],[0.920810341835022],[0.9467434287071228],[0.4672594666481018],[0.9404249787330627],[0.8017265200614929],[0.43304935097694397],[0.940861165523529],[0.9448959231376648],[0.939919650554657],[0.9405113458633423],[0.9470384120941162],[0.9412230253219604],[0.9429195523262024],[0.9409889578819275],[0.9378620386123657],[0.3966084420681],[0.4289221167564392],[0.7431187629699707]
19,,[0.8250694274902344],[0.797281801700592],[0.5075010061264038],[0.8277139663696289],[0.8316110372543335],[0.5128159523010254],[0.9034828543663025],[0.6476085186004639],[0.5224257111549377],[0.8227794170379639],[0.8152492046356201],[0.5074830055236816],[0.8456873893737793],[0.8721379637718201],[0.8941309452056885],[0.843668520450592],[0.8760143518447876],[0.9107652902603149],[0.8448460102081299],[0.8773424625396729],[0.9002014398574829],[0.7709153294563293],[0.797399640083313],[0.8120041489601135]
20,,[0.9177027940750122],[0.5891682505607605],[0.4504653513431549],[0.9193498492240906],[0.5846847891807556],[0.4512539207935333],[0.9153162837028503],[0.593946099281311],[0.45368653535842896],[0.9314494132995605],[0.5748666524887085],[0.4505106210708618],[0.9457148313522339],[0.9578568935394287],[0.94681316614151],[0.9382385015487671],[0.9533782005310059],[0.9337010383605957],[0.9463891386985779],[0.9588856101036072],[0.9132819771766663],[0.8692435026168823],[0.9037531018257141],[0.8745110630989075]
21,,[0.8581892251968384],[0.519930362701416],[0.501670241355896],[0.8479995131492615],[0.6263619065284729],[0.5028229355812073],[0.9076279997825623],[0.5958091020584106],[0.5031441450119019],[0.8432528376579285],[0.5654836297035217],[0.5017073750495911],[0.8878076076507568],[0.9091970920562744],[0.922134280204773],[0.8930205702781677],[0.909492015838623],[0.9257017970085144],[0.8953070640563965],[0.9117956757545471],[0.8911619186401367],[0.8403822779655457],[0.8941342234611511],[0.8784061670303345]
22,,[0.9140975475311279],[0.5750460028648376],[0.4614294171333313],[0.9391642212867737],[0.6344042420387268],[0.4625437557697296],[0.9256930351257324],[0.7155542373657227],[0.4637008607387543],[0.9264689683914185],[0.5503372550010681],[0.4615965783596039],[0.9428210854530334],[0.9460113048553467],[0.9476109147071838],[0.9429476857185364],[0.9459583759307861],[0.9445086121559143],[0.8591508269309998],[0.9349878430366516],[0.8642496466636658],[0.9233836531639099],[0.9310880899429321],[0.9168160557746887]
23,,[0.9010443687438965],[0.5278590321540833],[0.4297601878643036],[0.8875418901443481],[0.5284082293510437],[0.4302366077899933],[0.9570568203926086],[0.5579665899276733],[0.4313514828681946],[0.9037598371505737],[0.5505008697509766],[0.429947167634964],[0.9519782066345215],[0.9464403390884399],[0.9239580035209656],[0.9491695761680603],[0.937124490737915],[0.9011237621307373],[0.9500941634178162],[0.9268272519111633],[0.8859779238700867],[0.6087827086448669],[0.8803468942642212],[0.7854872345924377]
24,,[0.934602677822113],[0.9375767111778259],[0.39084509015083313],[0.9333576560020447],[0.5444961786270142],[0.39167699217796326],[0.9314671158790588],[0.9426776170730591],[0.4209986925125122],[0.9286823868751526],[0.9353414177894592],[0.3912959694862366],[0.9289900064468384],[0.9374180436134338],[0.9470032453536987],[0.9282088279724121],[0.9363335967063904],[0.9460304379463196],[0.9163497686386108],[0.9363276362419128],[0.94483482837677],[0.8859909772872925],[0.7805914282798767],[0.7850825786590576]
25,,[0.9042156338691711],[0.41782575845718384],[0.4087381958961487],[0.9177475571632385],[0.6522374153137207],[0.40975669026374817],[0.9067445397377014],[0.830292820930481],[0.41052958369255066],[0.903314471244812],[0.43044084310531616],[0.40885129570961],[0.9204186797142029],[0.9357597827911377],[0.8809900879859924],[0.9101396799087524],[0.9309908747673035],[0.8585808277130127],[0.8988222479820251],[0.9105525016784668],[0.836410403251648],[0.8982281684875488],[0.9279334545135498],[0.804424524307251]
26,,[0.8683016896247864],[0.828000545501709],[0.5446602702140808],[0.8818330764770508],[0.8080248832702637],[0.5450561046600342],[0.8832907676696777],[0.6679053902626038],[0.5474706292152405],[0.8696119785308838],[0.8460473418235779],[0.544935405254364],[0.8767885565757751],[0.9090185165405273],[0.9122381806373596],[0.8777368664741516],[0.9030226469039917],[0.9145846962928772],[0.87614506483078],[0.8987133502960205],[0.9122841954231262],[0.8478191494941711],[0.8676449060440063],[0.8830093145370483]
