,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.7976281642913818],[0.9377955794334412],[0.7886808514595032],[0.9274701476097107],[0.9403765201568604],[0.7070773243904114],[0.8972802758216858],[0.9396299123764038],[0.7318817377090454],[0.7388002872467041],[0.9394212365150452],[0.7087337970733643],[0.851594090461731],[0.9346827864646912],[0.9406380653381348],[0.8462894558906555],[0.9385552406311035],[0.9403542876243591],[0.7804374694824219],[0.9129537343978882],[0.919795036315918],[0.27387621998786926],[0.6276761293411255],[0.5360614061355591]
13,,[0.8822110295295715],[0.9668332934379578],[0.5981119871139526],[0.9660710096359253],[0.9654061198234558],[0.6027055382728577],[0.9653697609901428],[0.9653763771057129],[0.6757224798202515],[0.8554072380065918],[0.9654112458229065],[0.5955841541290283],[0.9377617239952087],[0.9667628407478333],[0.9666205048561096],[0.968508243560791],[0.9662570357322693],[0.9666532278060913],[0.9211894869804382],[0.966025710105896],[0.9662216901779175],[0.13828188180923462],[0.813099205493927],[0.8623970150947571]
14,,[0.656790554523468],[0.7713680863380432],[0.6195495128631592],[0.9327041506767273],[0.931643545627594],[0.6560183763504028],[0.9356821179389954],[0.936305820941925],[0.6679431200027466],[0.9578533172607422],[0.7595520615577698],[0.6259031295776367],[0.8591520190238953],[0.9354932904243469],[0.9326292276382446],[0.8645738959312439],[0.9353594183921814],[0.9202947020530701],[0.850554883480072],[0.8919209241867065],[0.5783284306526184],[0.6177372932434082],[0.3137069642543793],[0.7349705100059509]
15,,[0.9587744474411011],[0.9598939418792725],[0.5763766765594482],[0.9599987864494324],[0.9598018527030945],[0.5768204927444458],[0.9599578380584717],[0.9593156576156616],[0.5785126686096191],[0.8478754758834839],[0.9597833752632141],[0.5761070251464844],[0.9554311633110046],[0.958451509475708],[0.9595506191253662],[0.9577259421348572],[0.959821879863739],[0.9485854506492615],[0.8745097517967224],[0.9372702836990356],[0.9281775951385498],[0.9130608439445496],[0.941219687461853],[0.9509695172309875]
16,,[0.6467671394348145],[0.972537100315094],[0.8071187138557434],[0.952735424041748],[0.9722012877464294],[0.9085274338722229],[0.9645731449127197],[0.9720171093940735],[0.9297094941139221],[0.9591021537780762],[0.9720615148544312],[0.7381592392921448],[0.9219185709953308],[0.9644925594329834],[0.9476279616355896],[0.6116911172866821],[0.9663179516792297],[0.9615470170974731],[0.5835898518562317],[0.962715744972229],[0.9569494128227234],[0.6551153063774109],[0.5767260193824768],[0.5585379004478455]
17,,[0.8792925477027893],[0.9199221730232239],[0.5810757875442505],[0.9320883750915527],[0.9514349699020386],[0.580866813659668],[0.9247955083847046],[0.9492653608322144],[0.5814428925514221],[0.8256852626800537],[0.9504100680351257],[0.5811808705329895],[0.8816123604774475],[0.9465816617012024],[0.9359195828437805],[0.8800098896026611],[0.9447885155677795],[0.9351399540901184],[0.8891435861587524],[0.9461348056793213],[0.9346696734428406],[0.9293604493141174],[0.9193024635314941],[0.8963946104049683]
18,,[0.8725768327713013],[0.9079519510269165],[0.7067534327507019],[0.8562288880348206],[0.9062399864196777],[0.7077268958091736],[0.8610336184501648],[0.9044346213340759],[0.711243212223053],[0.7912513017654419],[0.908958911895752],[0.7070320844650269],[0.9471448659896851],[0.9631115794181824],[0.9255408644676208],[0.9575642943382263],[0.9617184996604919],[0.9098498225212097],[0.9300438761711121],[0.9565485715866089],[0.9535011649131775],[0.8040984869003296],[0.8833601474761963],[0.8520678877830505]
19,,[0.821564793586731],[0.9678304195404053],[0.5651741027832031],[0.9403061270713806],[0.9636297821998596],[0.5648001432418823],[0.9357420206069946],[0.963150680065155],[0.5657863616943359],[0.7693493366241455],[0.9633293747901917],[0.5655888915061951],[0.949089527130127],[0.9543296098709106],[0.9408984780311584],[0.9496273994445801],[0.9506694674491882],[0.9410938024520874],[0.9153245687484741],[0.9378281831741333],[0.9409884214401245],[0.6686813235282898],[0.8213870525360107],[0.668938934803009]
20,,[0.6606665849685669],[0.9680779576301575],[0.7899554371833801],[0.9522468447685242],[0.9681740999221802],[0.9533364176750183],[0.9402425289154053],[0.9670568704605103],[0.9647052884101868],[0.7940921783447266],[0.9675267934799194],[0.8458371162414551],[0.9561863541603088],[0.9525103569030762],[0.9575045108795166],[0.9572078585624695],[0.9531482458114624],[0.9566695690155029],[0.6749162077903748],[0.9628500938415527],[0.9628987312316895],[0.3861776292324066],[0.8016720414161682],[0.887481153011322]
21,,[0.9647161364555359],[0.97185879945755],[0.7712599039077759],[0.9678166508674622],[0.9723080396652222],[0.7759601473808289],[0.9680097103118896],[0.9719789028167725],[0.7905176281929016],[0.8218047618865967],[0.9719225764274597],[0.7724403142929077],[0.9512157440185547],[0.9712731838226318],[0.9617072939872742],[0.9521277546882629],[0.9717480540275574],[0.9577584862709045],[0.9342116713523865],[0.9658972024917603],[0.965828537940979],[0.9035791754722595],[0.9435890316963196],[0.37385061383247375]
