,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.49561795592308044],[0.8995571732521057],[0.36717158555984497],[0.4971427917480469],[0.8987352848052979],[0.3677375912666321],[0.4979988634586334],[0.9459491968154907],[0.3768390119075775],[0.4975144863128662],[0.8862131834030151],[0.36726024746894836],[0.9471564292907715],[0.8945985436439514],[0.9029098749160767],[0.9445508122444153],[0.8890659809112549],[0.9026286602020264],[0.9457526803016663],[0.896258533000946],[0.9144749641418457],[0.9199429750442505],[0.8565141558647156],[0.8682835698127747]
13,,[0.5369202494621277],[0.9004241824150085],[0.37817737460136414],[0.5278496146202087],[0.8968338370323181],[0.3783703148365021],[0.5354389548301697],[0.9401088953018188],[0.380859911441803],[0.5382198691368103],[0.900992751121521],[0.37813565135002136],[0.9391765594482422],[0.900347888469696],[0.9391816854476929],[0.9387381672859192],[0.8905823230743408],[0.9345032572746277],[0.9347509145736694],[0.8870058655738831],[0.9067667126655579],[0.9179871082305908],[0.8978631496429443],[0.9127261638641357]
14,,[0.8252619504928589],[0.9600718021392822],[0.4466118812561035],[0.7899348139762878],[0.9414543509483337],[0.44671082496643066],[0.8139262795448303],[0.9355538487434387],[0.4478481113910675],[0.8209526538848877],[0.9552269577980042],[0.4465567171573639],[0.9523718953132629],[0.955394983291626],[0.955136239528656],[0.9504773616790771],[0.9548863172531128],[0.9556236863136292],[0.9495046138763428],[0.9548889994621277],[0.9573935270309448],[0.8013985753059387],[0.4327832758426666],[0.834000289440155]
15,,[0.8670913577079773],[0.09830253571271896],[0.39250531792640686],[0.6667537093162537],[0.8612300753593445],[0.39248913526535034],[0.5947437286376953],[0.9236960411071777],[0.39352017641067505],[0.7580963373184204],[0.808128297328949],[0.3921712338924408],[0.8863769173622131],[0.8573814630508423],[0.8766347765922546],[0.8813879489898682],[0.8523617386817932],[0.874956488609314],[0.8793917894363403],[0.8055806756019592],[0.8572953939437866],[0.8671914935112],[0.80862957239151],[0.8536161780357361]
16,,[0.7938037514686584],[0.9256462454795837],[0.42740997672080994],[0.8037582635879517],[0.9263877868652344],[0.427729070186615],[0.768479585647583],[0.9346935153007507],[0.4287770986557007],[0.8588739633560181],[0.9175195097923279],[0.4275018572807312],[0.9513539671897888],[0.9210062623023987],[0.937490701675415],[0.9336121082305908],[0.9230889081954956],[0.9395009875297546],[0.9446693658828735],[0.9107969999313354],[0.9314406514167786],[0.8568996787071228],[0.8822388052940369],[0.9129539132118225]
17,,[0.9273852109909058],[0.8946466445922852],[0.49162739515304565],[0.7552800178527832],[0.9309709072113037],[0.49130767583847046],[0.7470940351486206],[0.9320636987686157],[0.4932765066623688],[0.9313361644744873],[0.902719259262085],[0.49157920479774475],[0.9403706192970276],[0.9295616745948792],[0.9425430297851562],[0.9304278492927551],[0.9172305464744568],[0.9409931898117065],[0.8994015455245972],[0.8846243023872375],[0.9025506377220154],[0.9160241484642029],[0.8684138655662537],[0.9166079759597778]
18,,[0.9465404748916626],[0.3547767400741577],[0.4368734657764435],[0.8874566555023193],[0.9421175718307495],[0.4359361529350281],[0.8849550485610962],[0.9430611729621887],[0.4361898601055145],[0.8688786029815674],[0.9432682394981384],[0.4332928955554962],[0.934145987033844],[0.9431917667388916],[0.9384752511978149],[0.9226208925247192],[0.9461079239845276],[0.9356157183647156],[0.932934582233429],[0.9312538504600525],[0.9330627918243408],[0.6172204613685608],[0.4697408378124237],[0.4349369704723358]
19,,[0.8046359419822693],[0.6622975468635559],[0.508212685585022],[0.7581497430801392],[0.9336642622947693],[0.5082433819770813],[0.7494192719459534],[0.9483275413513184],[0.5211594104766846],[0.8142809271812439],[0.8415895700454712],[0.5108230113983154],[0.9530900120735168],[0.8610427379608154],[0.896881639957428],[0.9619378447532654],[0.8666221499443054],[0.8954347968101501],[0.9436382055282593],[0.8443925976753235],[0.8695627450942993],[0.840487003326416],[0.8816115260124207],[0.932579755783081]
20,,[0.7566543221473694],[0.9399113655090332],[0.450459748506546],[0.7569160461425781],[0.9498862624168396],[0.4505518674850464],[0.7458258271217346],[0.9579434990882874],[0.4519510865211487],[0.7573608756065369],[0.9334256052970886],[0.4505309760570526],[0.96221524477005],[0.9516547322273254],[0.9623829126358032],[0.96540766954422],[0.9517245292663574],[0.9631718993186951],[0.9294983744621277],[0.95173579454422],[0.9576582312583923],[0.4802945852279663],[0.0006003265152685344],[0.46052783727645874]
21,,[0.641019344329834],[0.6771872043609619],[0.5025961399078369],[0.601856529712677],[0.873972475528717],[0.5031671524047852],[0.6907132863998413],[0.8855671286582947],[0.5053164958953857],[0.8162802457809448],[0.8163667917251587],[0.5029719471931458],[0.9133316874504089],[0.8699765801429749],[0.909651517868042],[0.9066201448440552],[0.8580882549285889],[0.9051916599273682],[0.8996221423149109],[0.8428148031234741],[0.8907850384712219],[0.7101622223854065],[0.36807844042778015],[0.868144690990448]
