,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.9642754197120667],[0.5794264674186707],[0.6925586462020874],[0.957761287689209],[0.8613957166671753],[0.6840024590492249],[0.9586437940597534],[0.8875658512115479],[0.7729682326316833],[0.9492878317832947],[0.7503829002380371],[0.6702713370323181],[0.9411226511001587],[0.8777885437011719],[0.9128376841545105],[0.9409265518188477],[0.8778932094573975],[0.9187509417533875],[0.8940633535385132],[0.886233925819397],[0.6759299039840698],[0.8941405415534973],[0.8271990418434143],[0.5116817951202393]
13,,[0.965912401676178],[0.9626750946044922],[0.5946948528289795],[0.9654454588890076],[0.9536694884300232],[0.5977967977523804],[0.9649730324745178],[0.9596548676490784],[0.7284625172615051],[0.9663146138191223],[0.8498539328575134],[0.5930405855178833],[0.9668229818344116],[0.9364047646522522],[0.946561336517334],[0.9667462706565857],[0.9293997883796692],[0.94034343957901],[0.9422949552536011],[0.8457367420196533],[0.9137325286865234],[0.8236969709396362],[0.8787978291511536],[0.005559842102229595]
14,,[0.7949701547622681],[0.8641760349273682],[0.6214706897735596],[0.7940043210983276],[0.9352214932441711],[0.6196230053901672],[0.8057509064674377],[0.9360466003417969],[0.6325465440750122],[0.7783783078193665],[0.8099542856216431],[0.6199460625648499],[0.9361193180084229],[0.9492729306221008],[0.936286449432373],[0.9355233311653137],[0.9476307034492493],[0.9364020824432373],[0.9366906881332397],[0.9513484835624695],[0.942678689956665],[0.9033966660499573],[0.3131757974624634],[0.3296271860599518]
15,,[0.9594054818153381],[0.959231436252594],[0.5761549472808838],[0.9592639207839966],[0.959023118019104],[0.5766136050224304],[0.9590623378753662],[0.960037350654602],[0.5831526517868042],[0.960121750831604],[0.8475054502487183],[0.5757730603218079],[0.9597952365875244],[0.9566636681556702],[0.9588974118232727],[0.9593913555145264],[0.9564247131347656],[0.9584754705429077],[0.9593947529792786],[0.8668766617774963],[0.9579753279685974],[0.9396975040435791],[0.44290441274642944],[0.6448141932487488]
16,,[0.9696049094200134],[0.640464186668396],[0.740221381187439],[0.9687072038650513],[0.9695834517478943],[0.7168457508087158],[0.969089686870575],[0.9695468544960022],[0.7523893117904663],[0.9696342349052429],[0.8707528114318848],[0.7202082872390747],[0.9695032835006714],[0.9605610966682434],[0.9710659980773926],[0.9693219065666199],[0.9622271656990051],[0.9712429642677307],[0.9696561098098755],[0.9593533277511597],[0.9708123803138733],[0.9696381688117981],[0.9373140335083008],[0.9711774587631226]
17,,[0.9470531344413757],[0.7793182134628296],[0.581235408782959],[0.9360537528991699],[0.9449294209480286],[0.5814700126647949],[0.9415580630302429],[0.9403601288795471],[0.5826866626739502],[0.9461341500282288],[0.8792186379432678],[0.5814306139945984],[0.9470396637916565],[0.9253389239311218],[0.9388663172721863],[0.945206344127655],[0.8624334931373596],[0.9429898858070374],[0.937789797782898],[0.8761347532272339],[0.9186734557151794],[0.9142870903015137],[0.9079402685165405],[0.2547491788864136]
18,,[0.9204474687576294],[0.9376896023750305],[0.7092106342315674],[0.9199835062026978],[0.944256603717804],[0.7119761109352112],[0.9194679856300354],[0.9604578614234924],[0.8724380135536194],[0.9209121465682983],[0.7913504242897034],[0.7091356515884399],[0.9592635035514832],[0.9273982644081116],[0.9599268436431885],[0.9686728119850159],[0.8972342610359192],[0.9674039483070374],[0.9549388289451599],[0.9289199709892273],[0.9445120096206665],[0.8827822804450989],[0.8217740654945374],[0.19163905084133148]
19,,[0.9541240930557251],[0.962175190448761],[0.5645326972007751],[0.9643783569335938],[0.9616355299949646],[0.5654825568199158],[0.9636176228523254],[0.9582985043525696],[0.5672124624252319],[0.9631966948509216],[0.7686342000961304],[0.5646284818649292],[0.956452488899231],[0.9505952596664429],[0.9611706137657166],[0.9514951705932617],[0.9542548060417175],[0.9614755511283875],[0.9499650001525879],[0.8795403838157654],[0.8863288164138794],[0.9549877047538757],[0.8320062160491943],[0.9592864513397217]
20,,[0.9608092904090881],[0.9544897675514221],[0.7692474126815796],[0.9670961499214172],[0.9534270167350769],[0.7266169786453247],[0.9664556980133057],[0.950303316116333],[0.7772074341773987],[0.9677115678787231],[0.7921764254570007],[0.7472008466720581],[0.9528291821479797],[0.9582786560058594],[0.9630483984947205],[0.9524747729301453],[0.9560492634773254],[0.9632981419563293],[0.9475616216659546],[0.9332903027534485],[0.9391627311706543],[0.808910071849823],[0.45841720700263977],[0.21436060965061188]
21,,[0.9703934192657471],[0.9522199034690857],[0.7721949815750122],[0.9699955582618713],[0.9680761098861694],[0.772261381149292],[0.9702991247177124],[0.9683721661567688],[0.8464428186416626],[0.9690291881561279],[0.8239132761955261],[0.7714976668357849],[0.972118079662323],[0.9705896973609924],[0.9716528654098511],[0.9710628986358643],[0.969691276550293],[0.971408486366272],[0.9710630774497986],[0.9702104926109314],[0.9719449281692505],[0.9639313220977783],[0.9708154797554016],[0.9722616672515869]
22,,[0.9674088358879089],[0.7959953546524048],[0.6090519428253174],[0.9161948561668396],[0.9612440466880798],[0.6102885007858276],[0.9665676951408386],[0.9643104672431946],[0.6518656611442566],[0.9662639498710632],[0.8381531834602356],[0.608505129814148],[0.9653729796409607],[0.9484463930130005],[0.962937593460083],[0.9650846123695374],[0.9116683602333069],[0.9625810980796814],[0.9620922803878784],[0.9637978076934814],[0.964907169342041],[0.8233237862586975],[0.6904401779174805],[0.6680493950843811]
23,,[0.9728391170501709],[0.4371158182621002],[0.7567102909088135],[0.9738062620162964],[0.9665732383728027],[0.6890051960945129],[0.9729313254356384],[0.9625065326690674],[0.8373816013336182],[0.9729153513908386],[0.8304795622825623],[0.7322924733161926],[0.9668740034103394],[0.9545152187347412],[0.9567052125930786],[0.9660772085189819],[0.9153033494949341],[0.9371452331542969],[0.9668225646018982],[0.9600427150726318],[0.9418327212333679],[0.951888918876648],[0.9480087757110596],[0.7962979674339294]
24,,[0.9398593306541443],[0.4025591313838959],[0.8114874958992004],[0.9474841356277466],[0.9251850247383118],[0.7458916306495667],[0.9442545175552368],[0.9211098551750183],[0.7859408855438232],[0.7937124967575073],[0.7347800731658936],[0.7939602732658386],[0.9538067579269409],[0.8944106101989746],[0.9132052063941956],[0.9521884322166443],[0.8949112296104431],[0.9025447368621826],[0.9523876905441284],[0.8903980255126953],[0.9133405089378357],[0.8549875617027283],[0.8122104406356812],[0.6205797791481018]
25,,[0.9648063778877258],[0.9558165073394775],[0.7597891092300415],[0.8488288521766663],[0.9614524841308594],[0.6581225991249084],[0.9622687697410583],[0.9605916738510132],[0.7251383066177368],[0.96709805727005],[0.9648928642272949],[0.7656779885292053],[0.9680745005607605],[0.8796089291572571],[0.9223492741584778],[0.968328058719635],[0.8552459478378296],[0.9280217885971069],[0.966971218585968],[0.8698225021362305],[0.9439337253570557],[0.9400625824928284],[0.8255385756492615],[0.2809486985206604]
26,,[0.9490957856178284],[0.8033357858657837],[0.56388258934021],[0.9397083520889282],[0.9462445378303528],[0.581488311290741],[0.9498457312583923],[0.9443039894104004],[0.6910356879234314],[0.9488487243652344],[0.7809464931488037],[0.5626850724220276],[0.9468221664428711],[0.9522665739059448],[0.9459938406944275],[0.9466828107833862],[0.952445924282074],[0.9461163878440857],[0.9224299788475037],[0.9184999465942383],[0.9121217727661133],[0.9029597043991089],[0.7622859477996826],[0.4686848521232605]
27,,[0.788091778755188],[0.8329970240592957],[0.6967596411705017],[0.8047147393226624],[0.9586160182952881],[0.6986196637153625],[0.7877175211906433],[0.9714842438697815],[0.734822154045105],[0.802962064743042],[0.8134858012199402],[0.6116498112678528],[0.9713752865791321],[0.9360417127609253],[0.9711579084396362],[0.7827690839767456],[0.9694841504096985],[0.8203164339065552],[0.9645411372184753],[0.9686747193336487],[0.9717397093772888],[0.8737800121307373],[0.7091872692108154],[0.6652883887290955]
28,,[0.9702818393707275],[0.46871623396873474],[0.7745208740234375],[0.9705994725227356],[0.9705007076263428],[0.7698938250541687],[0.9707330465316772],[0.970483660697937],[0.8045869469642639],[0.9698957204818726],[0.8538382649421692],[0.7703777551651001],[0.9705196619033813],[0.9101954698562622],[0.9651594161987305],[0.9708934426307678],[0.89892578125],[0.9559362530708313],[0.9312247037887573],[0.6155461668968201],[0.7320249676704407],[0.7973952293395996],[0.45779556035995483],[0.34299537539482117]
29,,[0.8793431520462036],[0.9492936730384827],[0.599625825881958],[0.8761018514633179],[0.9294877648353577],[0.601489782333374],[0.8771073222160339],[0.9489530920982361],[0.616471529006958],[0.8729245066642761],[0.7875005602836609],[0.5985817313194275],[0.9629130959510803],[0.9492343068122864],[0.9460863471031189],[0.9625253677368164],[0.9614676833152771],[0.9502531886100769],[0.9538936018943787],[0.9419510364532471],[0.7215203046798706],[0.9155564308166504],[0.8289856910705566],[0.9476511478424072]
30,,[0.9023972749710083],[0.9621350169181824],[0.6216279864311218],[0.9142239093780518],[0.9567989110946655],[0.6260982751846313],[0.9095469117164612],[0.9576906561851501],[0.6875876188278198],[0.9219916462898254],[0.7920080423355103],[0.6133812069892883],[0.937275767326355],[0.9595393538475037],[0.9571511745452881],[0.9372676014900208],[0.9580904245376587],[0.9596450924873352],[0.8786926865577698],[0.41205471754074097],[0.7971251010894775],[0.9017686247825623],[0.24147945642471313],[0.8307877779006958]
31,,[0.9410161375999451],[0.8329097032546997],[0.6154763102531433],[0.9450034499168396],[0.9301692843437195],[0.6177884936332703],[0.9452017545700073],[0.9290682673454285],[0.6201075911521912],[0.9418468475341797],[0.77671217918396],[0.615310549736023],[0.9424636960029602],[0.9287934303283691],[0.9307838082313538],[0.9400190114974976],[0.9275087714195251],[0.9309929013252258],[0.9469686150550842],[0.8246471285820007],[0.7208414077758789],[0.7919450998306274],[0.7878732681274414],[0.8500789403915405]
