,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.22446013987064362],[0.47287604212760925],[0.35338595509529114],[0.9447025060653687],[0.3646278381347656],[0.35331156849861145],[0.9435652494430542],[0.5237547755241394],[0.3534623980522156],[0.891770601272583],[0.37256699800491333],[0.35323429107666016],[0.8639447093009949],[0.9453904032707214],[0.9520973563194275],[0.8638581037521362],[0.9366174340248108],[0.9494701623916626],[0.853855550289154],[0.8636176586151123],[0.87026447057724],[0.0024196174927055836],[0.3990751802921295],[0.7394700050354004]
13,,[0.7186363339424133],[0.9745486974716187],[0.48547929525375366],[0.9388333559036255],[0.9739155173301697],[0.48445987701416016],[0.9634903073310852],[0.9754382967948914],[0.4842612147331238],[0.729385256767273],[0.9750717878341675],[0.48610174655914307],[0.9698244333267212],[0.9749919772148132],[0.977733314037323],[0.9678792357444763],[0.9748693108558655],[0.9777902364730835],[0.7004865407943726],[0.8672440052032471],[0.9094655513763428],[0.5408945083618164],[0.8991551399230957],[0.9156381487846375]
14,,[0.9481527209281921],[0.9735534191131592],[0.4891101121902466],[0.9371107220649719],[0.9722349643707275],[0.4881669580936432],[0.9396496415138245],[0.9733301401138306],[0.4878132939338684],[0.7319462895393372],[0.9733301401138306],[0.48986417055130005],[0.9424237012863159],[0.9723321795463562],[0.9763519763946533],[0.9431850910186768],[0.9726996421813965],[0.9764703512191772],[0.7549552917480469],[0.8851332068443298],[0.9676498174667358],[0.7381895780563354],[0.7718995809555054],[0.8763449192047119]
15,,[0.7572641968727112],[0.9757490158081055],[0.4910975396633148],[0.8850246667861938],[0.9768749475479126],[0.4894005358219147],[0.918124258518219],[0.9769901037216187],[0.48956888914108276],[0.7724910378456116],[0.9753997325897217],[0.4915701448917389],[0.9425777196884155],[0.9751944541931152],[0.9782522916793823],[0.9392037987709045],[0.97483229637146],[0.9777839183807373],[0.9546955227851868],[0.976241409778595],[0.9773547649383545],[0.8767075538635254],[0.9448806047439575],[0.9603950381278992]
16,,[0.7739313244819641],[0.9745730757713318],[0.4944648742675781],[0.8734001517295837],[0.9749206900596619],[0.4928518235683441],[0.929175078868866],[0.9738996624946594],[0.4926217496395111],[0.7743870615959167],[0.973349392414093],[0.494584321975708],[0.938957154750824],[0.9734286069869995],[0.9760015606880188],[0.9185478091239929],[0.9731192588806152],[0.9759472012519836],[0.9278507828712463],[0.9732185006141663],[0.97601318359375],[0.9368208050727844],[0.9738684296607971],[0.9747827053070068]
17,,[0.8229937553405762],[0.9581416249275208],[0.5091532468795776],[0.9393253326416016],[0.9583091139793396],[0.5084396600723267],[0.9416271448135376],[0.9586707949638367],[0.5078543424606323],[0.9484045505523682],[0.9578825235366821],[0.5091949105262756],[0.9521702527999878],[0.9592139720916748],[0.8834129571914673],[0.9496049880981445],[0.9590545892715454],[0.9584125876426697],[0.9526486396789551],[0.9103650450706482],[0.8676965832710266],[0.9411154389381409],[0.953773558139801],[0.9519600868225098]
18,,[0.707529604434967],[0.31329116225242615],[0.3111628592014313],[0.8309587240219116],[0.8335444927215576],[0.311411052942276],[0.8475989103317261],[0.8447666168212891],[0.3116115629673004],[0.003081832081079483],[0.3119543790817261],[0.3109275996685028],[0.8982961773872375],[0.9335200786590576],[0.8432480096817017],[0.6704190373420715],[0.8472132086753845],[0.8379884958267212],[0.8344513177871704],[0.8547437787055969],[0.9249289035797119],[0.6089491844177246],[0.7982744574546814],[0.7689603567123413]
19,,[0.7454504370689392],[0.3305857479572296],[0.32797685265541077],[0.7660716772079468],[0.7521913647651672],[0.3286696970462799],[0.9514626860618591],[0.7531288266181946],[0.3284395933151245],[0.007058105897158384],[0.3308148682117462],[0.3279317021369934],[0.9253131747245789],[0.9485448598861694],[0.9472888112068176],[0.93411785364151],[0.9480651021003723],[0.9480625987052917],[0.9378085136413574],[0.9465600848197937],[0.9477134346961975],[0.7784513235092163],[0.8556138277053833],[0.8670008778572083]
20,,[0.7004867196083069],[0.8732957243919373],[0.2895728051662445],[0.926153838634491],[0.9528889060020447],[0.288901150226593],[0.9531168937683105],[0.9531393051147461],[0.28938689827919006],[0.0019525847164914012],[0.20534679293632507],[0.2885231077671051],[0.906611442565918],[0.9502848982810974],[0.9550870656967163],[0.8827283382415771],[0.9521617889404297],[0.9547237753868103],[0.9380826354026794],[0.9525577425956726],[0.9551420211791992],[0.9323422908782959],[0.952907145023346],[0.952269971370697]
21,,[0.7474624514579773],[0.6799428462982178],[0.3209083676338196],[0.8528361916542053],[0.6848822236061096],[0.3211200535297394],[0.9417276978492737],[0.6945983171463013],[0.32122522592544556],[0.004084892105311155],[0.32455357909202576],[0.3201391398906708],[0.8640432953834534],[0.9419054985046387],[0.9249452948570251],[0.8147312998771667],[0.9346882104873657],[0.8982570767402649],[0.8259788751602173],[0.930185854434967],[0.6572174429893494],[0.813637375831604],[0.9400705099105835],[0.8834314942359924]
