,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.3570528030395508],[0.66838139295578],[0.3540093004703522],[0.3535454273223877],[0.4969725012779236],[0.3536171019077301],[0.36733943223953247],[0.907243549823761],[0.3535970151424408],[0.35377049446105957],[0.8755689263343811],[0.3536159098148346],[0.9396414756774902],[0.9356309175491333],[0.9513256549835205],[0.9363793134689331],[0.9386618137359619],[0.9511332511901855],[0.7916348576545715],[0.8617088198661804],[0.8627475500106812],[0.8806201815605164],[0.8242424130439758],[0.8867970705032349]
13,,[0.9611547589302063],[0.5155415534973145],[0.4841707944869995],[0.5783807635307312],[0.974443256855011],[0.48451927304267883],[0.9643304944038391],[0.9692195653915405],[0.4851916432380676],[0.961533784866333],[0.7039534449577332],[0.484340101480484],[0.9768019318580627],[0.9557210206985474],[0.9721516966819763],[0.9771221280097961],[0.9573605060577393],[0.9727497696876526],[0.9506531953811646],[0.6588608622550964],[0.7639622688293457],[0.8595612645149231],[0.737635612487793],[0.7596266865730286]
14,,[0.9668020009994507],[0.7959523797035217],[0.4878804683685303],[0.9709317088127136],[0.9587041735649109],[0.4882529377937317],[0.9507037997245789],[0.9729697108268738],[0.48864811658859253],[0.9649659991264343],[0.7282651662826538],[0.4881214499473572],[0.9744826555252075],[0.9526664614677429],[0.9695937037467957],[0.9746707081794739],[0.9533011317253113],[0.9702736139297485],[0.9631302952766418],[0.8613978028297424],[0.9390884041786194],[0.8734511137008667],[0.6700300574302673],[0.6916813254356384]
15,,[0.8250414729118347],[0.9692844748497009],[0.48979318141937256],[0.748330295085907],[0.9735227227210999],[0.4899758994579315],[0.9435011148452759],[0.9713736176490784],[0.4910787045955658],[0.8474186062812805],[0.966740071773529],[0.4892241656780243],[0.9751232266426086],[0.9666606783866882],[0.9748899340629578],[0.9754083752632141],[0.9659885764122009],[0.9746408462524414],[0.9643536806106567],[0.7671718001365662],[0.8990382552146912],[0.9546800255775452],[0.9665547609329224],[0.9730344414710999]
16,,[0.7868300080299377],[0.9705597162246704],[0.4926549196243286],[0.8112096190452576],[0.9731702208518982],[0.49310123920440674],[0.9648759365081787],[0.974037230014801],[0.49396368861198425],[0.8079214692115784],[0.9688095450401306],[0.4922895133495331],[0.9732195138931274],[0.9655831456184387],[0.973093569278717],[0.9724909663200378],[0.9690889120101929],[0.9740175604820251],[0.9735642075538635],[0.9667607545852661],[0.9733259677886963],[0.8696296215057373],[0.20915824174880981],[0.8608445525169373]
17,,[0.929162859916687],[0.04863090440630913],[0.5083829760551453],[0.867499053478241],[0.9441977739334106],[0.5084152817726135],[0.5098121166229248],[0.8971329927444458],[0.5090630054473877],[0.8703243732452393],[0.9483792185783386],[0.5082151293754578],[0.869247317314148],[0.9584856033325195],[0.9559855461120605],[0.9581620097160339],[0.7562835812568665],[0.934381902217865],[0.8946041464805603],[0.9547612071037292],[0.9561680555343628],[0.8992384076118469],[0.01923310197889805],[0.0]
18,,[0.3115832805633545],[0.846329391002655],[0.3094783425331116],[0.31131258606910706],[0.8472517132759094],[0.3099053204059601],[0.31102946400642395],[0.8455155491828918],[0.3105224370956421],[0.31186985969543457],[0.0025364800821989775],[0.31041306257247925],[0.840423047542572],[0.9434177875518799],[0.8478531837463379],[0.9369411468505859],[0.7188479900360107],[0.9430131912231445],[0.9361745119094849],[0.561736524105072],[0.9354490041732788],[0.7707129120826721],[0.6254321336746216],[0.7451926469802856]
19,,[0.3287988305091858],[0.7582203149795532],[0.32631078362464905],[0.3288058340549469],[0.7606848478317261],[0.3270622193813324],[0.3286103904247284],[0.755274772644043],[0.32876044511795044],[0.3290818929672241],[0.0034590312279760838],[0.32705530524253845],[0.8769541382789612],[0.8981034755706787],[0.932634711265564],[0.9280024170875549],[0.7942863702774048],[0.934836208820343],[0.8999905586242676],[0.7222332954406738],[0.9017686247825623],[0.9307088851928711],[0.9091644287109375],[0.9434590935707092]
20,,[0.4882400631904602],[0.7063132524490356],[0.28853559494018555],[0.30434831976890564],[0.6449254155158997],[0.28850439190864563],[0.30288031697273254],[0.6936179995536804],[0.28923630714416504],[0.04681118577718735],[0.00014106693561188877],[0.2887541949748993],[0.9471266269683838],[0.7235603332519531],[0.8991966843605042],[0.7133905291557312],[0.7648722529411316],[0.5464836359024048],[0.8078623414039612],[0.7655780911445618],[0.6914991140365601],[0.8364835977554321],[0.30099472403526306],[0.7989956140518188]
21,,[0.32752513885498047],[0.67359858751297],[0.3192722797393799],[0.3214106857776642],[0.6788132786750793],[0.32019010186195374],[0.32106882333755493],[0.6794242858886719],[0.3209834396839142],[0.32690346240997314],[0.005125671625137329],[0.3196374177932739],[0.773902952671051],[0.30050066113471985],[0.8665351867675781],[0.6103652715682983],[0.22238677740097046],[0.8132053017616272],[0.739052951335907],[0.7075691819190979],[0.7375666499137878],[0.009758871048688889],[0.010169025510549545],[0.008476704359054565]
22,,[0.035016171634197235],[0.5741420388221741],[0.21653565764427185],[0.2730812728404999],[0.8990159630775452],[0.2721737325191498],[0.27311185002326965],[0.8981245160102844],[0.2710568308830261],[0.07249514758586884],[0.0054570636712014675],[0.27273908257484436],[0.8696527481079102],[0.8860169053077698],[0.8963962197303772],[0.8934834599494934],[0.7933552861213684],[0.8862904906272888],[0.8852505683898926],[0.8833743333816528],[0.8956231474876404],[0.8297237753868103],[0.7432808876037598],[0.7898421883583069]
23,,[0.02447647601366043],[0.027397260069847107],[0.1360338181257248],[0.5874826312065125],[0.8464269638061523],[0.476121187210083],[0.5765830874443054],[0.9394897222518921],[0.476431667804718],[0.6370264887809753],[0.7322393655776978],[0.4774514436721802],[0.8312039971351624],[0.9428577423095703],[0.9554321765899658],[0.83250892162323],[0.9461305141448975],[0.9588919878005981],[0.5213801860809326],[0.20216572284698486],[0.26823896169662476],[0.8907649517059326],[0.7614544630050659],[0.8760442137718201]
24,,[0.8345856666564941],[0.8837392926216125],[0.35003551840782166],[0.8311409950256348],[0.9079458713531494],[0.350370317697525],[0.8239034414291382],[0.8978208303451538],[0.35089924931526184],[0.8125420212745667],[0.8840422630310059],[0.3504606783390045],[0.9482285380363464],[0.8813648819923401],[0.9401389956474304],[0.9485851526260376],[0.8841946125030518],[0.941029965877533],[0.9341696500778198],[0.8613555431365967],[0.8802585005760193],[0.8656586408615112],[0.8119693994522095],[0.8589903116226196]
25,,[0.6498032808303833],[0.8800768852233887],[0.3494262993335724],[0.349084734916687],[0.8846034407615662],[0.3494185507297516],[0.3500078320503235],[0.8285091519355774],[0.34680497646331787],[0.8292043805122375],[0.9060278534889221],[0.34965428709983826],[0.9497553110122681],[0.9160239100456238],[0.9226846694946289],[0.8514951467514038],[0.9235388040542603],[0.8330526351928711],[0.7978295683860779],[0.8588235378265381],[0.6742144823074341],[0.9518395066261292],[0.9164937734603882],[0.9264620542526245]
26,,[0.33098405599594116],[0.7906990647315979],[0.3312029540538788],[0.3314821720123291],[0.3772914707660675],[0.29150357842445374],[0.3303948938846588],[0.7956204414367676],[0.3296792805194855],[0.3308948278427124],[0.790726900100708],[0.33119091391563416],[0.8283416032791138],[0.16906264424324036],[0.17364010214805603],[0.8411995768547058],[0.8399015069007874],[0.17276720702648163],[0.6024685502052307],[0.17029105126857758],[0.17687693238258362],[0.7562137246131897],[0.16831879317760468],[0.17347538471221924]
27,,[0.3590794801712036],[0.8642373085021973],[0.31692400574684143],[0.31646963953971863],[0.9018539190292358],[0.31566959619522095],[0.31744205951690674],[0.8934051990509033],[0.2641570270061493],[0.3124663233757019],[0.8943821787834167],[0.3168680965900421],[0.7581480145454407],[0.8997530341148376],[0.9117610454559326],[0.7733837962150574],[0.8991569876670837],[0.9111436605453491],[0.8231493234634399],[0.7008422017097473],[0.7514864802360535],[0.779313862323761],[0.5243780016899109],[0.7211585640907288]
28,,[0.34379884600639343],[0.030667593702673912],[0.3443993330001831],[0.3436870574951172],[0.7740716338157654],[0.34293535351753235],[0.3443431556224823],[0.8141355514526367],[0.2888787090778351],[0.3358478844165802],[0.7587898969650269],[0.3438444435596466],[0.8098269701004028],[0.8952797055244446],[0.9130024313926697],[0.8876334428787231],[0.892798662185669],[0.905837893486023],[0.9092110395431519],[0.1006123274564743],[0.10047285258769989],[0.9067581295967102],[0.7776711583137512],[0.8950749635696411]
29,,[0.2742716073989868],[0.8328812718391418],[0.23240044713020325],[0.2559581696987152],[0.9011057019233704],[0.23240044713020325],[0.24654336273670197],[0.6823521256446838],[0.23340925574302673],[0.26324695348739624],[0.875906229019165],[0.2323717623949051],[0.9387308359146118],[0.922991156578064],[0.954502284526825],[0.9447954893112183],[0.9092780351638794],[0.945122241973877],[0.8069843649864197],[0.9581781625747681],[0.8451572060585022],[0.79161536693573],[0.889940083026886],[0.609329879283905]
30,,[0.26565706729888916],[0.9319043755531311],[0.23377439379692078],[0.2555152475833893],[0.974297046661377],[0.23413406312465668],[0.2648162543773651],[0.9753409028053284],[0.24641536176204681],[0.2592044472694397],[0.9492166042327881],[0.23363029956817627],[0.9741051197052002],[0.9539893865585327],[0.9709862470626831],[0.9746221899986267],[0.9488251805305481],[0.9660369753837585],[0.9622436761856079],[0.9431658983230591],[0.958442211151123],[0.8352475166320801],[0.9740892648696899],[0.8766230940818787]
31,,[0.13683661818504333],[0.9638670682907104],[0.12217928469181061],[0.13786232471466064],[0.9637947678565979],[0.12266794592142105],[0.8009762167930603],[0.9636944532394409],[0.12431435286998749],[0.1364811211824417],[0.9640468955039978],[0.12216908484697342],[0.9636644721031189],[0.963671863079071],[0.9636433720588684],[0.9633933901786804],[0.96370929479599],[0.9636082053184509],[0.9638577699661255],[0.9634479880332947],[0.9642614722251892],[0.7699763774871826],[0.001949317753314972],[0.34768688678741455]
32,,[0.3571552634239197],[0.9736733436584473],[0.14695101976394653],[0.4307616949081421],[0.9749876856803894],[0.14716292917728424],[0.18204905092716217],[0.9751129150390625],[0.1601244956254959],[0.16650260984897614],[0.9740163087844849],[0.14594537019729614],[0.9751930236816406],[0.9683212637901306],[0.9734789133071899],[0.9762256145477295],[0.9686591029167175],[0.9740473031997681],[0.9744600653648376],[0.9682407975196838],[0.9729419350624084],[0.9524639248847961],[0.971480667591095],[0.9782431125640869]
33,,[0.21987491846084595],[0.9750193357467651],[0.1831548511981964],[0.3136468231678009],[0.9758323431015015],[0.18329066038131714],[0.9775510430335999],[0.9752895832061768],[0.19126839935779572],[0.9780712723731995],[0.03307223692536354],[0.18295997381210327],[0.9771502017974854],[0.9714544415473938],[0.9756882190704346],[0.9768218398094177],[0.9713915586471558],[0.975107729434967],[0.9772158265113831],[0.971524715423584],[0.975503146648407],[0.9777805805206299],[0.9723228216171265],[0.9758199453353882]
34,,[0.3798973858356476],[0.9374609589576721],[0.2911199629306793],[0.37510237097740173],[0.9347296953201294],[0.2901446521282196],[0.387261301279068],[0.9349701404571533],[0.2902754545211792],[0.3833276629447937],[0.9382026791572571],[0.29074805974960327],[0.9501089453697205],[0.933608889579773],[0.9412713050842285],[0.9512478113174438],[0.9330133199691772],[0.9406459927558899],[0.9385056495666504],[0.12000520527362823],[0.8687754273414612],[0.928196132183075],[0.026763705536723137],[0.9251877665519714]
35,,[0.2541069984436035],[0.9821071624755859],[0.23046348989009857],[0.9671008586883545],[0.9824510216712952],[0.2307121604681015],[0.9753348231315613],[0.9822784662246704],[0.23150841891765594],[0.9443289637565613],[0.9822404384613037],[0.2305825799703598],[0.9819347262382507],[0.9790573120117188],[0.9819955825805664],[0.9819350242614746],[0.9703303575515747],[0.9802750945091248],[0.9804642200469971],[0.9803115129470825],[0.9822952747344971],[0.8704015612602234],[0.07519630342721939],[0.8108788728713989]
36,,[0.9709140658378601],[0.9763432741165161],[0.23706625401973724],[0.9511127471923828],[0.976837694644928],[0.23768161237239838],[0.9641770124435425],[0.9767041206359863],[0.23789547383785248],[0.9717332720756531],[0.9763922691345215],[0.23705829679965973],[0.9769263863563538],[0.9743219614028931],[0.9756425023078918],[0.9551243185997009],[0.9749916195869446],[0.9766462445259094],[0.9762030243873596],[0.9731656908988953],[0.9748859405517578],[0.9455701112747192],[0.8859413862228394],[0.9523292779922485]
37,,[0.958484947681427],[0.963263750076294],[0.12717202305793762],[0.9640684127807617],[0.9642719030380249],[0.12734118103981018],[0.9641724824905396],[0.9615570902824402],[0.1273699253797531],[0.010760667733848095],[0.009652867913246155],[0.9686658978462219],[0.9622604846954346],[0.9554884433746338],[0.9599456787109375],[0.96317058801651],[0.9559968709945679],[0.9596430063247681],[0.9635784029960632],[0.9551831483840942],[0.95923912525177],[0.9623609185218811],[0.9545720219612122],[0.958733856678009]
38,,[0.19260446727275848],[0.9722777605056763],[0.17789289355278015],[0.17849767208099365],[0.9749651551246643],[0.17755207419395447],[0.9659980535507202],[0.9724941849708557],[0.17834660410881042],[0.19311697781085968],[0.9724183678627014],[0.17788466811180115],[0.9742839932441711],[0.9692060351371765],[0.9717106819152832],[0.9742839932441711],[0.9693440198898315],[0.9719164967536926],[0.9734584093093872],[0.9685846567153931],[0.9715010523796082],[0.9696119427680969],[0.6995704770088196],[0.9650218486785889]
39,,[0.18982191383838654],[0.9672843217849731],[0.1660410761833191],[0.8062717914581299],[0.9704440832138062],[0.1660952866077423],[0.16719721257686615],[0.9726548194885254],[0.16627949476242065],[0.9684761166572571],[0.9680219888687134],[0.1660507619380951],[0.9726273417472839],[0.9618943333625793],[0.968763530254364],[0.9726587533950806],[0.9622023105621338],[0.9689171314239502],[0.9721246957778931],[0.9636363387107849],[0.9699639081954956],[0.9701126217842102],[0.9604552984237671],[0.9652969241142273]
40,,[0.33107322454452515],[0.9670948386192322],[0.32775405049324036],[0.32983654737472534],[0.9668639302253723],[0.32779473066329956],[0.3956509530544281],[0.9668987393379211],[0.3279595971107483],[0.329789936542511],[0.9670642614364624],[0.3277471661567688],[0.9670969247817993],[0.9650753140449524],[0.9663383960723877],[0.9670315980911255],[0.9650096893310547],[0.9662401676177979],[0.9298222661018372],[0.359170526266098],[0.8806042075157166],[0.9659456610679626],[0.965711772441864],[0.9666719436645508]
41,,[0.38105180859565735],[0.9665380120277405],[0.28779610991477966],[0.9679611921310425],[0.9659363627433777],[0.2877389192581177],[0.9676408171653748],[0.9657580256462097],[0.28773611783981323],[0.9675635099411011],[0.9650612473487854],[0.28766366839408875],[0.9688106179237366],[0.964620053768158],[0.9669662714004517],[0.9693127870559692],[0.9647005796432495],[0.9669687747955322],[0.9659303426742554],[0.927148699760437],[0.9629685282707214],[0.9455115795135498],[0.7905892729759216],[0.9291270971298218]
