,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
2626,,[0.845047652721405],[0.9689650535583496],[0.050691865384578705],[0.8426449298858643],[0.9685983657836914],[0.05057712644338608],[0.8503366708755493],[0.9691423177719116],[0.0514354407787323],[0.8536766767501831],[0.9682286977767944],[0.05055376887321472],[0.9719884395599365],[0.9633306264877319],[0.9723308682441711],[0.9720272421836853],[0.9635767340660095],[0.9722221493721008],[0.9724228382110596],[0.9633343815803528],[0.9719427824020386],[0.949683427810669],[0.9321641325950623],[0.9458479285240173]
2627,,[0.8341444134712219],[0.9642204642295837],[0.047169774770736694],[0.8207312226295471],[0.9646864533424377],[0.04749411717057228],[0.8109649419784546],[0.964200496673584],[0.04862240329384804],[0.8289318680763245],[0.9641269445419312],[0.04738711565732956],[0.9700760245323181],[0.9572880268096924],[0.968538761138916],[0.9699788689613342],[0.9571319818496704],[0.9685470461845398],[0.9691515564918518],[0.9580088257789612],[0.9686052799224854],[0.9687771201133728],[0.954735517501831],[0.9657535552978516]
2628,,[0.4156869947910309],[0.11163759231567383],[0.1437510997056961],[0.14450493454933167],[0.1428578495979309],[0.14019189774990082],[0.1441228836774826],[0.14211902022361755],[0.14033423364162445],[0.11383280903100967],[0.06840096414089203],[0.14351382851600647],[0.8833744525909424],[0.734129786491394],[0.8793729543685913],[0.8890132308006287],[0.718458354473114],[0.8693379759788513],[0.7817309498786926],[0.7881112098693848],[0.834458589553833],[0.7964949607849121],[0.6767796874046326],[0.7558674812316895]
2629,,[0.5619028806686401],[0.7784144878387451],[0.14224985241889954],[0.5684735178947449],[0.7388303279876709],[0.1421094685792923],[0.6366534233093262],[0.8221418261528015],[0.14249956607818604],[0.6092299818992615],[0.20075546205043793],[0.14361253380775452],[0.9184449911117554],[0.7747287750244141],[0.8369792699813843],[0.9204280972480774],[0.7768504023551941],[0.8396011590957642],[0.8488725423812866],[0.7414499521255493],[0.7897462844848633],[0.7614734768867493],[0.6361126899719238],[0.6959081888198853]
2630,,[0.8440234661102295],[0.8041148781776428],[0.02998523600399494],[0.8483647108078003],[0.8053446412086487],[0.029773637652397156],[0.8484013080596924],[0.8032224774360657],[0.028913676738739014],[0.8426282405853271],[0.8015130162239075],[0.030012089759111404],[0.874826192855835],[0.8265162706375122],[0.860012948513031],[0.8737493753433228],[0.8249032497406006],[0.8582318425178528],[0.8742810487747192],[0.8268581032752991],[0.8595107793807983],[0.8473905920982361],[0.8003786206245422],[0.821357250213623]
2631,,[0.8513286113739014],[0.7649543881416321],[0.07270246744155884],[0.8710178732872009],[0.7937628030776978],[0.07325004786252975],[0.07388170063495636],[0.8590940833091736],[0.07324699312448502],[0.844351053237915],[0.7548663020133972],[0.07241415232419968],[0.9065594673156738],[0.820015549659729],[0.8835036754608154],[0.9054551720619202],[0.8187378644943237],[0.8790919184684753],[0.9030455350875854],[0.8149580359458923],[0.8745509386062622],[0.8982317447662354],[0.8309230208396912],[0.8864026665687561]
2632,,[0.6569302678108215],[0.632246196269989],[0.010129461996257305],[0.6647306680679321],[0.6393771767616272],[0.010130026377737522],[0.6692851185798645],[0.6412439346313477],[0.009715712629258633],[0.655153214931488],[0.6304517388343811],[0.010096291080117226],[0.6878651976585388],[0.6566966772079468],[0.7887641787528992],[0.6873747110366821],[0.6556680798530579],[0.7937211394309998],[0.6862137913703918],[0.6545441746711731],[0.7968263626098633],[0.6867498755455017],[0.6560890674591064],[0.8341663479804993]
2633,,[0.7831986546516418],[0.47843635082244873],[0.03694227710366249],[0.9038746953010559],[0.8177677989006042],[0.03736128658056259],[0.7435674667358398],[0.7961398959159851],[0.03954337164759636],[0.7817949056625366],[0.48079147934913635],[0.03691888973116875],[0.8381977677345276],[0.8389261960983276],[0.8941311240196228],[0.839920699596405],[0.8420867919921875],[0.8899194002151489],[0.8184302449226379],[0.8087756037712097],[0.8711815476417542],[0.7675703167915344],[0.8490984439849854],[0.915370762348175]
2634,,[0.5005667805671692],[0.0016049080295488238],[0.17632843554019928],[0.2023303210735321],[0.24833175539970398],[0.17387942969799042],[0.27133703231811523],[0.8383660912513733],[0.17362485826015472],[0.21779866516590118],[0.009737628512084484],[0.1936315894126892],[0.9034842252731323],[0.09589365124702454],[0.6409532427787781],[0.8883993625640869],[0.10045770555734634],[0.637830913066864],[0.9025105834007263],[0.13228917121887207],[0.6629156470298767],[0.7882478833198547],[0.048222146928310394],[0.43199601769447327]
2635,,[0.5364025831222534],[0.18841826915740967],[0.45054349303245544],[0.4864453077316284],[0.5526366233825684],[0.4341685175895691],[0.5105569362640381],[0.5565161108970642],[0.47798997163772583],[0.5386036038398743],[0.5750293731689453],[0.45023319125175476],[0.8358975052833557],[0.029987404122948647],[0.8180679082870483],[0.8274008631706238],[0.044245410710573196],[0.813374400138855],[0.772983968257904],[0.03364722058176994],[0.7978920936584473],[0.846032440662384],[0.03578599914908409],[0.8008843064308167]
