,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
519,,[0.1287451535463333],[0.843456506729126],[0.11068396270275116],[0.12462525814771652],[0.7422888875007629],[0.11066312342882156],[0.1496318131685257],[0.8533653616905212],[0.11094535887241364],[0.1234111413359642],[0.8062740564346313],[0.11069867759943008],[0.8953219652175903],[0.8394511342048645],[0.8683038949966431],[0.894634485244751],[0.8483691215515137],[0.874626100063324],[0.904899537563324],[0.8492493033409119],[0.8803051710128784],[0.8718917965888977],[0.8578547835350037],[0.8770798444747925]
520,,[0.7810236811637878],[0.07013766467571259],[0.1412597894668579],[0.8218374848365784],[0.7706471681594849],[0.1454610377550125],[0.8039975762367249],[0.8092733025550842],[0.2293165922164917],[0.7749984264373779],[0.6082832217216492],[0.14788369834423065],[0.8356276750564575],[0.7747386693954468],[0.7947248816490173],[0.8340088725090027],[0.7732847929000854],[0.7942371964454651],[0.8360245823860168],[0.7458610534667969],[0.7774775624275208],[0.785642683506012],[0.3338211178779602],[0.7491925358772278]
521,,[0.7755212783813477],[0.8321918845176697],[0.3570023775100708],[0.7262112498283386],[0.819960355758667],[0.356747031211853],[0.7414342164993286],[0.8236845135688782],[0.3572894036769867],[0.7765065431594849],[0.8268132209777832],[0.3571161925792694],[0.8785991072654724],[0.8678035140037537],[0.8711746335029602],[0.8666366934776306],[0.8692148923873901],[0.861804723739624],[0.8664857745170593],[0.8399542570114136],[0.8609453439712524],[0.8312068581581116],[0.6483256220817566],[0.8009900450706482]
522,,[0.23780182003974915],[0.8481610417366028],[0.19559165835380554],[0.23471763730049133],[0.512457549571991],[0.1942753791809082],[0.2368314415216446],[0.621098518371582],[0.22878360748291016],[0.23772267997264862],[0.7624818682670593],[0.1943099945783615],[0.8077385425567627],[0.7605239748954773],[0.8402688503265381],[0.8036653995513916],[0.7552050948143005],[0.8368178009986877],[0.8020748496055603],[0.7645778656005859],[0.82461017370224],[0.8358837366104126],[0.7651832699775696],[0.8489259481430054]
523,,[0.19518230855464935],[0.8350219130516052],[0.09364262968301773],[0.16116145253181458],[0.5830057859420776],[0.09365426003932953],[0.09666212648153305],[0.8556221127510071],[0.09361130744218826],[0.2657310962677002],[0.46263471245765686],[0.09368056058883667],[0.9011061191558838],[0.6026045680046082],[0.88405841588974],[0.8952257633209229],[0.627562403678894],[0.8826770782470703],[0.8976762890815735],[0.49646544456481934],[0.8291373252868652],[0.8439483046531677],[0.43661972880363464],[0.7570739388465881]
524,,[0.17184820771217346],[0.40199095010757446],[0.1633135974407196],[0.15417882800102234],[0.21564756333827972],[0.1633807271718979],[0.1882256120443344],[0.5633426904678345],[0.16336162388324738],[0.6119748950004578],[0.3290783166885376],[0.16345486044883728],[0.6627692580223083],[0.5607823729515076],[0.563412606716156],[0.6613947749137878],[0.5401363372802734],[0.5561200380325317],[0.7076466083526611],[0.5354514718055725],[0.6058128476142883],[0.6876426935195923],[0.5507969856262207],[0.574999213218689]
525,,[0.22781340777873993],[0.5468558073043823],[0.22778165340423584],[0.28282755613327026],[0.31353622674942017],[0.22785578668117523],[0.29019594192504883],[0.33124738931655884],[0.22796164453029633],[0.23239482939243317],[0.5458061695098877],[0.22781723737716675],[0.7281486392021179],[0.6974976062774658],[0.713874101638794],[0.7188099026679993],[0.687450647354126],[0.7077853679656982],[0.7479539513587952],[0.6961177587509155],[0.7089364528656006],[0.7301194071769714],[0.6998446583747864],[0.7005448341369629]
526,,[0.1446360945701599],[0.5699059963226318],[0.1423119455575943],[0.14732973277568817],[0.5336167812347412],[0.14231298863887787],[0.1510925590991974],[0.6074033379554749],[0.14233145117759705],[0.13880851864814758],[0.36024209856987],[0.14231298863887787],[0.6388102769851685],[0.4621945023536682],[0.3723228871822357],[0.6821643710136414],[0.5374882817268372],[0.41151517629623413],[0.6160683631896973],[0.46271827816963196],[0.36736077070236206],[0.6424168348312378],[0.5691078901290894],[0.4593040347099304]
527,,[0.912429928779602],[0.4661080241203308],[0.2958765923976898],[0.9268114566802979],[0.6329126358032227],[0.3216846287250519],[0.9275016188621521],[0.9042341113090515],[0.567290186882019],[0.6277032494544983],[0.1494828164577484],[0.9239444136619568],[0.9310430884361267],[0.9063553810119629],[0.9155298471450806],[0.932142436504364],[0.908056378364563],[0.9174501895904541],[0.9289423823356628],[0.9018512964248657],[0.9131337404251099],[0.9328087568283081],[0.910298228263855],[0.9168521165847778]
528,,[0.18282324075698853],[0.18007153272628784],[0.08802724629640579],[0.18261049687862396],[0.21401093900203705],[0.08812997490167618],[0.18260295689105988],[0.1661817878484726],[0.0886259526014328],[0.1781924068927765],[0.10240137577056885],[0.08831218630075455],[0.8313814997673035],[0.7008371353149414],[0.7894812822341919],[0.8228027820587158],[0.6464753746986389],[0.7926070094108582],[0.8219140768051147],[0.6466173529624939],[0.793129563331604],[0.7296299934387207],[0.624383270740509],[0.7139533758163452]
