,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
12,,[0.918933629989624],[0.9239102602005005],[0.015751002356410027],[0.91797935962677],[0.932084321975708],[0.8201603889465332],[0.9113923907279968],[0.9229110479354858],[0.9024267196655273],[0.9195214509963989],[0.9306207895278931],[0.015183381736278534],[0.9148644804954529],[0.9224952459335327],[0.9402432441711426],[0.9154582619667053],[0.9228278398513794],[0.9381090402603149],[0.9139726161956787],[0.921870768070221],[0.9359243512153625],[0.9183006286621094],[0.9243606925010681],[0.9269300103187561]
13,,[0.9258645176887512],[0.8192481994628906],[0.2542676329612732],[0.9309599995613098],[0.8148508667945862],[0.2473199963569641],[0.9284619092941284],[0.8052000999450684],[0.26906147599220276],[0.9290887713432312],[0.812435507774353],[0.2541763484477997],[0.9312191605567932],[0.9330954551696777],[0.9342252612113953],[0.9313635230064392],[0.9335713386535645],[0.9353325963020325],[0.9295663237571716],[0.9306107759475708],[0.9298750758171082],[0.9264448881149292],[0.9334742426872253],[0.9351166486740112]
14,,[0.8824356198310852],[0.9163274765014648],[0.033581189811229706],[0.8815543055534363],[0.9185285568237305],[0.03227384015917778],[0.8814988136291504],[0.9140004515647888],[0.0534173808991909],[0.8821738362312317],[0.9165724515914917],[0.033983487635850906],[0.8853071928024292],[0.9116977453231812],[0.9207206964492798],[0.8831655383110046],[0.9111617207527161],[0.9202343225479126],[0.8869727253913879],[0.9126875996589661],[0.9217274188995361],[0.8224484920501709],[0.8783018589019775],[0.9123605489730835]
15,,[0.794310986995697],[0.9043315649032593],[0.023087915033102036],[0.8886979222297668],[0.9007379412651062],[0.02353638969361782],[0.784609854221344],[0.9044519066810608],[0.02352343127131462],[0.8034371733665466],[0.9031727910041809],[0.023542311042547226],[0.8778576254844666],[0.9018489122390747],[0.9093188643455505],[0.8790849447250366],[0.8988882899284363],[0.9049963355064392],[0.8852459192276001],[0.8960474729537964],[0.9026178121566772],[0.8836160898208618],[0.9007077217102051],[0.9004985094070435]
16,,[0.9502456188201904],[0.9610196948051453],[0.07825612276792526],[0.9520943760871887],[0.9618459343910217],[0.08772715926170349],[0.9461467266082764],[0.9595500826835632],[0.12602832913398743],[0.9510571360588074],[0.9614574313163757],[0.0774318277835846],[0.9474891424179077],[0.9574509263038635],[0.9625908732414246],[0.947129487991333],[0.957274854183197],[0.9624934196472168],[0.9465484619140625],[0.9567946195602417],[0.9625287055969238],[0.9417161345481873],[0.9562129974365234],[0.9612031579017639]
17,,[0.20996716618537903],[0.09757734835147858],[0.09693445265293121],[0.19532960653305054],[0.14117033779621124],[0.09695114940404892],[0.24866965413093567],[0.15652397274971008],[0.09700534492731094],[0.38804173469543457],[0.14709706604480743],[0.09694065898656845],[0.14184100925922394],[0.5791140198707581],[0.8449057936668396],[0.16841500997543335],[0.6307551860809326],[0.839218020439148],[0.1378963738679886],[0.49462008476257324],[0.8064600825309753],[0.0831686407327652],[0.5631555318832397],[0.719012439250946]
18,,[0.8211545944213867],[0.9029712677001953],[0.12222996354103088],[0.8678087592124939],[0.8860412836074829],[0.8765110373497009],[0.8418266177177429],[0.8900287747383118],[0.8923342227935791],[0.8364988565444946],[0.9044054746627808],[0.1280873417854309],[0.8642580509185791],[0.8874421119689941],[0.9077962040901184],[0.8627552390098572],[0.8862185478210449],[0.9073278307914734],[0.8600363731384277],[0.8850358128547668],[0.9058229923248291],[0.8620159029960632],[0.8860917091369629],[0.9038037061691284]
19,,[0.03443896397948265],[0.02436971478164196],[0.02434857189655304],[0.033384643495082855],[0.024491775780916214],[0.024373440071940422],[0.29400452971458435],[0.025136971846222878],[0.024376193061470985],[0.04229821264743805],[0.02436782605946064],[0.024344315752387047],[0.8771414756774902],[0.8469416499137878],[0.8375630378723145],[0.8671773672103882],[0.865074098110199],[0.8705531358718872],[0.8783265948295593],[0.8511186838150024],[0.8395484685897827],[0.7126308083534241],[0.6176424026489258],[0.6379274725914001]
20,,[0.8753317594528198],[0.8935521245002747],[0.04865288734436035],[0.8755649328231812],[0.8946792483329773],[0.0481455996632576],[0.8751969337463379],[0.892006516456604],[0.04747786000370979],[0.8719164729118347],[0.8931651711463928],[0.04814503714442253],[0.870271623134613],[0.8835199475288391],[0.8968067169189453],[0.8702824115753174],[0.8837496638298035],[0.8970140218734741],[0.8719271421432495],[0.8863067030906677],[0.8986895084381104],[0.8689994812011719],[0.8828591704368591],[0.8960538506507874]
21,,[0.8913232088088989],[0.8300148844718933],[0.033586516976356506],[0.9004584550857544],[0.8423693180084229],[0.03367273882031441],[0.8958001732826233],[0.8298279047012329],[0.0560576394200325],[0.8912853598594666],[0.8298189640045166],[0.03356977179646492],[0.8875854015350342],[0.8976069092750549],[0.9049018025398254],[0.890101969242096],[0.9002907276153564],[0.9106231927871704],[0.885153591632843],[0.8912379741668701],[0.8906094431877136],[0.8700388073921204],[0.8938502669334412],[0.9095938205718994]
